|c_id
0|11000012G401202311000012G411
1|11000012G402202311000012G411
2|1100009H010220231100009H0111
3|1100009H020220231100009H0211
4|1100009H030220231100009H0311
5|1100009H120120231100009H1211
6|1101005812012023110100581211
7|1101005814012023110100581411
8|1101005815012023110100581511
9|110100596B012023110100596B11
10|1102006106012023110200610611
11|1102006112012023110200611211
12|1102006113012023110200611311
13|1103003962012023110300396211
14|1103003965012023110300396511
15|1103003966012023110300396611
16|11G0001S0201202311G0001S0211
17|11G0001S0501202311G0001S0511
18|11G0001S1801202311G0001S1811
19|11G0001S2201202311G0001S2211
20|11G0001S2601202311G0001S2611
21|11G0001S2901202311G0001S2911
22|11G0001S3001202311G0001S3011
23|11G0001S3101202311G0001S3111
24|11G0001S3201202311G0001S3211
25|11G0001S3301202311G0001S3311
26|11G0001S3401202311G0001S3411
27|11G0001S3501202311G0001S3511
28|11G0001S3601202311G0001S3611
29|11G0001S3701202311G0001S3711
30|11G0001S3801202311G0001S3811
31|11G100101001202311G100101011
32|11G100102001202311G100102011
33|11G100104001202311G100104011
34|11G100105001202311G100105011
35|11G100105501202311G100105511
36|11G100106001202311G100106011
37|11G100107001202311G100107011
38|11G100108001202311G100108011
39|11G100109001202311G100109011
40|11G100110001202311G100110011
41|11G100111001202311G100111011
42|11G100112001202311G100112011
43|11G100113101202311G100113111
44|11G100113201202311G100113211
45|11G100116101202311G100116111
46|11G100SA0501202311G100SA0511
47|11G100SA1501202311G100SA1511
48|11G100SA1801202311G100SA1811
49|11G100SA1901202311G100SA1911
50|11G100SA2001202311G100SA2011
51|11G200101101202311G200101111
52|11G200101201202311G200101211
53|11G200102001202311G200102011
54|11G200102002202311G200102011
55|11G200102101202311G200102111
56|11G200103002202311G200103011
57|11G200103101202311G200103111
58|11G200106001202311G200106011
59|11G200110001202311G200110011
60|11G200110002202311G200110011
61|11G200110003202311G200110011
62|11G200111001202311G200111011
63|11G200SA0301202311G200SA0311
64|11G200SA0701202311G200SA0711
65|11G200SA0801202311G200SA0811
66|11G300101101202311G300101111
67|11G300101201202311G300101211
68|11G300102001202311G300102011
69|11G300103001202311G300103011
70|11G300103002202311G300103011
71|11G300103003202311G300103011
72|11G300105001202311G300105011
73|11G300106201202311G300106211
74|11G300106202202311G300106211
75|11G300106301202311G300106311
76|11G300107201202311G300107211
77|11G300108001202311G300108011
78|11G300108002202311G300108011
79|11G400101001202311G400101011
80|11G400101002202311G400101011
81|11G400101003202311G400101011
82|11G400101004202311G400101011
83|11G400101005202311G400101011
84|11G400101006202311G400101011
85|11G400101007202311G400101011
86|11G400101008202311G400101011
87|11G400101009202311G400101011
88|11G400101010202311G400101011
89|11G400101011202311G400101011
90|11G400104201202311G400104211
91|11G400104701202311G400104711
92|11G400104801202311G400104811
93|11G400105001202311G400105011
94|11G400105301202311G400105311
95|11G400105501202311G400105511
96|11G400105701202311G400105711
97|11G400105801202311G400105811
98|11G400105902202311G400105911
99|11G400105903202311G400105911
100|11G400105905202311G400105911
101|11G400105906202311G400105911
102|11G400105907202311G400105911
103|11G400105912202311G400105911
104|11G400105913202311G400105911
105|11G400106001202311G400106011
106|11G400106101202311G400106111
107|11G400106401202311G400106411
108|11G400106501202311G400106511
109|11G400106802202311G400106811
110|11G400106803202311G400106811
111|11G400106805202311G400106811
112|11G400106806202311G400106811
113|11G400106807202311G400106811
114|11G400106812202311G400106811
115|11G400106813202311G400106811
116|11G400107401202311G400107411
117|11G400107901202311G400107911
118|11G400108001202311G400108011
119|11G400108201202311G400108211
120|11G400108301202311G400108311
121|11G400108401202311G400108411
122|11G400108601202311G400108611
123|11G400109401202311G400109411
124|11G400109501202311G400109511
125|11G400109801202311G400109811
126|11G400109901202311G400109911
127|11G400110001202311G400110011
128|11G400110101202311G400110111
129|11G400110901202311G400110911
130|11G400111001202311G400111011
131|11G400111102202311G400111111
132|11G400111103202311G400111111
133|11G400111104202311G400111111
134|11G400111105202311G400111111
135|11G400111106202311G400111111
136|11G400111107202311G400111111
137|11G400111112202311G400111111
138|11G400111202202311G400111211
139|11G400111203202311G400111211
140|11G400111204202311G400111211
141|11G400111205202311G400111211
142|11G400111206202311G400111211
143|11G400111207202311G400111211
144|11G400111212202311G400111211
145|11G400111301202311G400111311
146|11G400111702202311G400111711
147|11G400111703202311G400111711
148|11G400111704202311G400111711
149|11G400111705202311G400111711
150|11G400111706202311G400111711
151|11G400111707202311G400111711
152|11G400111712202311G400111711
153|11G400111802202311G400111811
154|11G400111804202311G400111811
155|11G400111805202311G400111811
156|11G400111807202311G400111811
157|11G400111812202311G400111811
158|11G400111901202311G400111911
159|11G400112601202311G400112611
160|11G400113001202311G400113011
161|11G400113201202311G400113211
162|11G400113301202311G400113311
163|11G400113401202311G400113411
164|11G400113501202311G400113511
165|11G400113701202311G400113711
166|11G400113801202311G400113811
167|11G400114001202311G400114011
168|11G400114002202311G400114011
169|11G400114101202311G400114111
170|11G400114201202311G400114211
171|11G400114301202311G400114311
172|11G400114302202311G400114311
173|11G400114303202311G400114311
174|11G400114401202311G400114411
175|11G400114501202311G400114511
176|11G400114701202311G400114711
177|11G400114801202311G400114811
178|11G400114901202311G400114911
179|11G400115101202311G400115111
180|11G400115201202311G400115211
181|11G400115301202311G400115311
182|11G400115401202311G400115411
183|11G400115701202311G400115711
184|11G400115801202311G400115811
185|11G400115901202311G400115911
186|11G400116001202311G400116011
187|11G400116101202311G400116111
188|11G400116201202311G400116211
189|11G400116301202311G400116311
190|11G400116401202311G400116411
191|11G400116501202311G400116511
192|11G400116701202311G400116711
193|11G400117201202311G400117211
194|11G400117301202311G400117311
195|11G400118101202311G400118111
196|11G400118301202311G400118311
197|11G400118601202311G400118611
198|11G400118701202311G400118711
199|11G400118801202311G400118811
200|11G400119001202311G400119011
201|11G400119101202311G400119111
202|11G400119201202311G400119211
